Business Name,Industry,Category,City,Country,Website,Email,Email Confidence,WhatsApp,WhatsApp Confidence,Phone,Address,Social URL,Lead Score,Source,Source URL,Discovered At
"Top 10 Software Development Companies in Karachi, Pakistan",software company,software company,Karachi,Pakistan,https://www.ictsystems.com.pk,info@ictsystems.com.pk,85,,,+922134303822,,,65,Web Search,https://www.ictsystems.com.pk,2026-09-10T18:57:57.696Z
Contact,software company,software company,Karachi,Pakistan,https://www.anomoz.com,hello@anomoz.com,85,+923362286024,50,+12152617413,,,65,Web Search,https://www.anomoz.com,2026-09-10T18:57:52.108Z
Andaaz Restaurant Lahore | Rooftop Pakistani Fine Dining,restaurant,restaurant,Lahore,Pakistan,https://andaazrestaurant.com,,,+923000263229,90,+923000263229,,https://www.instagram.com/andaazrestaurantlahore/,55,Web Search,https://andaazrestaurant.com,2026-09-10T18:53:34.277Z
Best Dentist Dental Clinic in Dubai - UAE,dentist,dentist,,United Arab Emirates,https://uaedentalcenter.com/contact-us,,,,,+971542231344,,,30,Web Search,https://uaedentalcenter.com/contact-us,2026-09-10T19:01:13.321Z
Perfect Smile Dental Centre: Dental Clinic in Abu Dhabi,dentist,dentist,,United Arab Emirates,https://www.perfectsmiledental.ae,,,,,+97126334660,,,30,Web Search,https://www.perfectsmiledental.ae,2026-09-10T19:01:11.462Z
MALABAR DENTAL CLINIC,dentist,dentist,,United Arab Emirates,https://malabardentalclinics.com,,,,,+971521514300,,,30,Web Search,https://malabardentalclinics.com,2026-09-10T19:01:10.436Z
Precision Dental Clinic - Dubai: Dentist Dubai UAE - Family Dental,dentist,dentist,,United Arab Emirates,https://www.precisiondental.ae,,,,,+97142756731,,,30,Web Search,https://www.precisiondental.ae,2026-09-10T19:01:10.064Z
Al Bahri Dental: Dentists In Abu Dhabi,dentist,dentist,,United Arab Emirates,https://albahridental.com,,,+971563431856,50,+97137643273,,,30,Web Search,https://albahridental.com,2026-09-10T19:00:20.118Z
Restaurants in Pakistan,restaurant,restaurant,Lahore,Pakistan,https://mofa.gov.pk,,,,,+923335696242,,,30,Web Search,https://mofa.gov.pk,2026-09-10T18:53:30.569Z
General Dentistry,dentist,dentist,,United Arab Emirates,https://www.ehs.gov.ae,,,,,,,,25,Web Search,https://www.ehs.gov.ae,2026-09-10T19:01:10.251Z
Book Dental Consultations Online in UAE - myAster,dentist,dentist,,United Arab Emirates,https://www.myaster.com/en/doctor-consultation/s/dentistry?srsltid=AfmBOoo2mIKMp0Ecex3T6LFIA-nyO065p-lNNNw4S671LRKyKY6slM9L,,,,,,,,25,Web Search,https://www.myaster.com/en/doctor-consultation/s/dentistry?srsltid=AfmBOoo2mIKMp0Ecex3T6LFIA-nyO065p-lNNNw4S671LRKyKY6slM9L,2026-09-10T19:01:10.148Z
"Complete Guide to Getting a Dental License in UAE (DOH,",dentist,dentist,,United Arab Emirates,https://www.ozident.com,,,,,,,,25,Web Search,https://www.ozident.com,2026-09-10T19:01:08.955Z
Dubai Dental Hospital,dentist,dentist,,United Arab Emirates,https://dubaihealth.ae,,,,,,,,25,Web Search,https://dubaihealth.ae,2026-09-10T19:01:08.820Z
"Dental Nation: Dental Clinic in Dubai, UAE",dentist,dentist,,United Arab Emirates,https://www.dentalnation.com,,,,,,,,25,Web Search,https://www.dentalnation.com,2026-09-10T19:00:57.876Z
Dubai-ae,dentist,dentist,,United Arab Emirates,https://services.dha.gov.ae,,,,,,,,25,Web Search,https://services.dha.gov.ae,2026-09-10T19:00:24.567Z
Dentist in Abu Dhabi - Mediclinic Airport Road Hospital,dentist,dentist,,United Arab Emirates,https://www.mediclinic.ae,,,,,,,,25,Web Search,https://www.mediclinic.ae,2026-09-10T19:00:20.340Z
